borough,communitydistrict,waste type,month,quantity
Bronx,8,paper,3,261.7
Bronx,8,refuse,3,2283.7
Bronx,8,res organics,3,64.7
Bronx,8,school organic,3,0
Bronx,8,xmastree,3,0
Bronx,9,leaves organic,3,0
Bronx,9,mgp,3,356.8
Bronx,9,other organics,3,0
Bronx,9,paper,3,217.3
Bronx,9,refuse,3,3789.2
Bronx,9,res organics,3,27
Bronx,9,school organic,3,0
Bronx,9,xmastree,3,0
Bronx,1,leaves organic,4,0
Bronx,1,mgp,4,147
Bronx,1,other organics,4,0
Bronx,1,paper,4,236.7
Bronx,1,refuse,4,3232.7
Bronx,1,res organics,4,17.6
Bronx,1,school organic,4,80.3
Bronx,1,xmastree,4,0
Bronx,10,leaves organic,4,0
Bronx,10,mgp,4,323.7
Bronx,10,other organics,4,0
Bronx,10,paper,4,275.1
Bronx,10,refuse,4,2456.5
Bronx,10,res organics,4,165.2
Bronx,10,school organic,4,52.2
Bronx,10,xmastree,4,0
Bronx,11,leaves organic,4,0
Bronx,11,mgp,4,310.9
Bronx,11,other organics,4,0
Bronx,11,paper,4,265.9
Bronx,11,refuse,4,2987
Bronx,11,res organics,4,141
Bronx,11,school organic,4,73.9
Bronx,11,xmastree,4,0
Bronx,12,leaves organic,4,0
Bronx,12,mgp,4,544.7
Bronx,12,other organics,4,0
Bronx,12,paper,4,305.3
Bronx,12,refuse,4,3686.5
Bronx,12,res organics,4,234.8
Bronx,12,school organic,4,0
Bronx,12,xmastree,4,0
Bronx,2,leaves organic,4,0
Bronx,2,mgp,4,203.3
Bronx,2,other organics,4,0
Bronx,2,paper,4,215.9
Bronx,2,refuse,4,7838.1
Bronx,2,res organics,4,14.7
Bronx,2,school organic,4,0
Bronx,2,xmastree,4,0
Bronx,3,leaves organic,4,0
Bronx,3,mgp,4,175.3
Bronx,3,other organics,4,0
Bronx,3,paper,4,171.3
Bronx,3,refuse,4,2235.1
Bronx,3,res organics,4,16.5
Bronx,3,school organic,4,85.2
Bronx,3,xmastree,4,0
Bronx,4,leaves organic,4,0
Bronx,4,mgp,4,309.5
Bronx,4,other organics,4,1.3
Bronx,4,paper,4,256.6
Bronx,4,refuse,4,4059.4
Bronx,4,res organics,4,15.7
Bronx,4,school organic,4,59.8
Bronx,4,xmastree,4,0
Bronx,5,leaves organic,4,0
Bronx,5,mgp,4,321.2
Bronx,5,other organics,4,0
Bronx,5,paper,4,225.5
Bronx,5,refuse,4,3495.8
Bronx,5,res organics,4,16.5
Bronx,5,school organic,4,69.2
Bronx,5,xmastree,4,0
Bronx,6,leaves organic,4,0
Bronx,6,mgp,4,216.7
Bronx,6,other organics,4,0.6
Bronx,6,paper,4,206.9
Bronx,6,refuse,4,3205
Bronx,6,res organics,4,11.4
Bronx,6,school organic,4,45.5
Bronx,6,xmastree,4,0
Bronx,7,leaves organic,4,0
Bronx,7,mgp,4,428.3
Bronx,7,other organics,4,0
Bronx,7,paper,4,289.1
Bronx,7,refuse,4,3805.4
Bronx,7,res organics,4,32
Bronx,7,school organic,4,41.2
Bronx,7,xmastree,4,0
Bronx,8,leaves organic,4,0
Bronx,8,mgp,4,348.8
Bronx,8,other organics,4,0
Bronx,8,paper,4,285.3
Bronx,8,refuse,4,2266.2
Bronx,8,res organics,4,134
Bronx,8,school organic,4,0
Bronx,8,xmastree,4,0
Bronx,9,leaves organic,4,0
Bronx,9,mgp,4,351.1
Bronx,9,other organics,4,0
Bronx,9,paper,4,226.4
Bronx,9,refuse,4,3714
Bronx,9,res organics,4,79.8
Bronx,9,school organic,4,0
Bronx,9,xmastree,4,0
Bronx,1,leaves organic,5,0
Bronx,1,mgp,5,137.4
